especial,special (distinguished by a unique quality),especial,
queremos,first-person plural present indicative of querer,querer,updated
ia,,ia,
clark,,clark,
irme,infinitive of ir combined with me,ir,updated
perfecto,perfect,perfecto,
buscar,to seek search for look for try to find to scour,buscar,
odio,hate hatred loathing (strong aversion intense dislike),odio,
piensa,inflection of pensar:,pensar,updated
oficina,office (a room used for non-manual work),oficina,
hablas,plural of habla,habla,updated
libre,free (not imprisoned or enslaved),libre,
agente,agent,agente,
york,,york,
llamar,to summon to call,llamar,
mala,female equivalent of malo,malo,updated
viste,(interrogatively informal Rioplatense) you know used as a space filler usually in the middle of a sentence or when telling a story,viste,
dile,second-person singular imperative of decir combined with le,decir,updated
grandes,plural of grande,grande,updated
recuerdas,second-person singular present indicative of recordar,recordar,updated
real,real,real,
estaban,third-person plural imperfect indicative of estar,estar,updated
frente,(anatomy) forehead brow,frente,
perdido,lost,perdido,
llamo,first-person singular present indicative of llamar,llamar,updated
muertos,masculine plural of muerto,muerto,updated
millones,plural of millón,millón,updated
asesino,murderous homicidal (intending or likely to commit murder),asesino,
quisiera,first/third-person singular imperfect subjunctive of querer,querer,updated
viaje,voyage,viaje,
probablemente,probably likely,probablemente,
peter,,peter,
resto,rest remainder,resto,
lamento,lament,lamento,
muchacho,boy,muchacho,
ropa,garment clothing clothes robes,ropa,
fuerza,force,fuerza,
llamado,call,llamado,
frank,,frank,
dado,(gaming) a die or dice,dado,
encima,on top,encima,
negro,black (the color perceived in the absence of light),negro,
usar,(transitive) to use,usar,
uds,,uds,
preguntas,plural of pregunta,pregunta,updated
tuvo,third-person singular preterite indicative of tener,tener,updated
secreto,secret,secreto,
vuelve,inflection of volver:,volver,updated
miren,inflection of mirar:,mirar,updated
quieras,second-person singular present subjunctive of querer,querer,updated
acaba,inflection of acabar:,acabar,updated
otras,feminine plural of otro,otro,updated
incluso,enclosed included,incluso,
sientes,second-person singular present subjunctive of sentar,sentar,updated
haz,bundle,haz,
decirte,infinitive of decir combined with te,decir,updated
boca,(anatomy) mouth oral cavity,boca,
dolor,pain ache aching soreness tenderness (physical),dolor,
adentro,inside (especially implying a motion into),adentro,
profesor,professor (a faculty member),profesor,
tuyo,yours,tuyo,
seas,second-person singular present subjunctive of ser,ser,updated
noticias,plural of noticia,noticia,updated
querido,dear (also used in letter introductions etc.),querido,
duro,hard,duro,
poner,(transitive reflexive or non-reflexive) to put to put up to place to lay,poner,
prueba,proof evidence (usually in the plural),prueba,
